,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,3604,1292,1188,813,810,535,404,420,434,367,358,499,316
2,111.37639999999999,3568,1013,969,602,627,390,296,437,286,266,296,375,263
3,166.56459999999998,1306,356,314,218,210,141,86,164,135,64,92,90,59
4,221.75279999999998,547,114,127,94,87,51,31,69,43,39,47,40,39
5,276.941,267,63,59,24,40,19,14,47,18,14,16,25,16
6,332.12919999999997,157,31,38,20,31,10,3,32,13,10,9,7,10
7,387.31739999999996,101,21,13,15,21,14,9,10,6,13,6,6,4
8,442.50559999999996,77,14,15,7,9,6,6,6,8,4,2,2,5
9,497.69379999999995,38,10,8,7,11,8,4,9,4,3,3,2,1
10,552.882,32,6,5,3,3,5,3,9,2,2,3,1,0
11,608.0701999999999,22,4,5,1,6,3,2,7,2,2,1,1,1
12,663.2583999999999,10,2,4,5,2,2,3,1,1,2,1,3,0
13,718.4466,15,2,3,1,2,2,4,2,1,0,1,0,0
14,773.6347999999999,11,2,2,0,4,1,0,2,1,0,2,0,0
15,828.8229999999999,9,3,1,2,1,1,0,2,1,1,1,2,1
16,884.0111999999999,9,3,4,2,3,1,1,1,0,1,0,0,1
17,939.1994,4,2,1,0,0,0,0,2,1,1,0,0,0
18,994.3875999999999,5,2,1,1,1,2,0,3,0,0,1,0,0
19,1049.5757999999998,7,1,0,2,1,0,1,0,0,0,1,0,0
20,1104.764,5,1,0,1,0,1,1,2,1,0,0,0,1
21,1159.9522,1,1,0,0,0,0,1,0,0,0,0,0,0
22,1215.1403999999998,3,1,3,1,0,0,0,0,0,0,0,0,0
23,1270.3285999999998,4,1,0,1,1,1,0,0,0,1,1,0,1
24,1325.5167999999999,3,3,1,3,3,1,6,3,2,3,1,3,2
25,1380.705,4,1,1,1,0,0,0,1,0,0,1,0,0
26,1435.8932,7,2,0,1,1,0,1,0,0,0,1,0,0
27,1491.0813999999998,1,1,0,0,0,0,0,0,1,0,0,0,0
28,1546.2695999999999,2,0,0,0,0,0,0,0,1,0,0,1,0
29,1601.4578,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1656.6459999999997,0,0,0,0,1,0,0,0,1,0,0,0,0
31,1711.8341999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1767.0223999999998,1,1,0,0,0,0,0,0,0,0,0,0,1
33,1822.2105999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1877.3988,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1932.5869999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1987.7751999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2042.9633999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2098.1515999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2153.3397999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2208.528,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2263.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2318.9044,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2374.0926,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2429.2807999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2484.4689999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2539.6571999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2594.8453999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2705.2218,0,0,0,0,0,0,0,0,0,0,0,0,0
